Model_Contribution	MolID_1###N(CH3)2 (not amide)	MolID_1###CONH (acyclic)	MolID_1###N(CH3)2 (aliphatic)	MolID_2###CONH (acyclic)	MolID_3###CONH (acyclic)	MolID_3###morpholine	MolID_4###N(CH3)2 (not amide)	MolID_4###CONH (acyclic)	MolID_4###N(CH3)2 (aliphatic)	MolID_5###CONH (acyclic)	MolID_6###CONH (acyclic)	MolID_6###morpholine	MolID_7###N(CH3)2 (not amide)	MolID_7###N(CH3)2 (aliphatic)	MolID_7###CONH (acyclic)	MolID_8###CONH (acyclic)	MolID_9###morpholine	MolID_9###CONH (acyclic)	MolID_10###morpholine	MolID_11###N(CH3)2 (aliphatic)	MolID_11###N(CH3)2 (not amide)	MolID_12###morpholine	MolID_13###morpholine	MolID_14###N(CH3)2 (aliphatic)	MolID_14###CONH (acyclic)	MolID_14###phenyl unsubst	MolID_14###N(CH3)2 (not amide)	MolID_15###phenyl unsubst	MolID_15###CONH (acyclic)	MolID_16###morpholine	MolID_16###CONH (acyclic)	MolID_16###phenyl unsubst	MolID_17###N(CH3)2 (aliphatic)	MolID_17###N(CH3)2 (not amide)	MolID_17###CONH (acyclic)	MolID_17###phenyl unsubst	MolID_18###phenyl unsubst	MolID_18###CONH (acyclic)	MolID_19###morpholine	MolID_19###CONH (acyclic)	MolID_19###phenyl unsubst	MolID_20###phenyl unsubst	MolID_20###N(CH3)2 (not amide)	MolID_20###N(CH3)2 (aliphatic)	MolID_20###CONH (acyclic)	MolID_21###N(CH3)2 (aliphatic)	MolID_21###N(CH3)2 (not amide)	MolID_23###morpholine	MolID_24###N(CH3)2 (aliphatic)	MolID_24###N(CH3)2 (not amide)	MolID_26###morpholine	MolID_27###N(CH3)2 (aliphatic)	MolID_27###N(CH3)2 (not amide)	MolID_29###morpholine
gbm_REFRACTIVITY	-0.129084	-0.127743	-0.129084	-0.024608	0.021417	0.019819	-0.375760	-0.315818	-0.375760	-0.117932	0.161102	0.157669	-0.155842	-0.155842	-0.143470	-0.272078	0.189511	0.140037	-0.342383	-0.289168	-0.289168	0.381715	0.016228	-0.043930	-0.064013	-0.077330	-0.043930	-0.531802	-0.097204	-0.406250	-0.229826	-0.725053	-0.207745	-0.207745	-0.188639	-0.161737	-0.390802	0.015797	0.349280	0.445177	-0.357555	-0.221083	-0.109621	-0.109621	-0.113483	-0.313383	-0.313383	1.228487	0.008790	0.008790	0.397885	1.379182	1.379182	1.144214
gbm_overall	-0.875211	-0.354964	-0.875211	-0.631639	1.066620	1.375221	-1.853472	-0.888231	-1.853472	-0.804920	1.342295	1.576393	-1.646441	-1.646441	-0.496779	-0.760272	1.603502	1.252866	0.671822	-1.558950	-1.558950	1.340521	0.735829	-0.387650	-0.214628	-0.785961	-0.387650	-1.016599	-0.732210	0.082558	-0.128349	-1.672922	-1.000882	-1.000882	-0.587615	-0.519993	-1.006763	-1.005448	1.309329	1.182668	-0.903631	-0.577208	-1.137555	-1.137555	-0.514063	-1.218729	-1.218729	3.080883	-0.562293	-0.562293	1.838462	1.611011	1.611011	2.810793
gbm_HB	0.001038	0.013833	0.001038	-0.011482	0.250658	0.273925	-0.032089	-0.135862	-0.032089	-0.044501	0.330140	0.404456	0.087887	0.087887	0.050870	-0.022673	0.330066	0.472883	0.221899	-0.116108	-0.116108	0.265113	0.024181	0.034654	0.026306	-0.076424	0.034654	-0.077901	0.015369	0.114776	0.091028	-0.371796	0.009316	0.009316	-0.032199	0.033042	-0.195659	-0.184937	0.347794	0.291763	-0.132259	-0.220382	-0.056045	-0.056045	-0.136835	-0.042740	-0.042740	0.928842	0.043041	0.043041	0.532449	0.470655	0.470655	0.600386
gbm_LOGP	0.003099	0.011910	0.003099	-0.103280	0.290137	0.065541	-0.376092	-0.108716	-0.376092	-0.107996	0.122910	0.029176	-0.323373	-0.323373	-0.060661	-0.122283	0.211558	0.421569	-0.222963	-0.276057	-0.276057	-0.048614	-0.089542	0.046296	-0.075615	-0.246271	0.046296	-0.076063	-0.243042	0.096895	0.039109	-0.300182	-0.009060	-0.009060	-0.141955	-0.238007	-0.071809	-0.162056	0.175697	0.086800	-0.078107	-0.233475	-0.033067	-0.033067	-0.055871	-0.228191	-0.228191	0.421252	0.022465	0.022465	0.038470	0.024285	0.024285	0.513250
gbm_CHARGE	-0.619295	-0.241332	-0.619295	-0.495462	0.539310	1.170578	-1.119536	-0.357781	-1.119536	-0.528151	0.596019	0.892061	-1.023009	-1.023009	-0.307162	-0.444218	0.917698	0.494447	1.166496	-0.897033	-0.897033	0.918883	0.741089	-0.345324	-0.122762	-0.263196	-0.345324	-0.227353	-0.244644	0.253098	-0.000229	-0.305653	-0.777152	-0.777152	-0.308854	-0.235157	-0.326021	-0.462641	0.492172	0.396618	-0.327330	0.078547	-0.785006	-0.785006	-0.291580	-0.665200	-0.665200	0.913768	-0.470067	-0.470067	0.637584	0.147932	0.147932	1.580113
rf_REFRACTIVITY	-0.009100	-0.010280	-0.009100	-0.074440	0.456540	0.570680	-0.155440	-0.156820	-0.155440	-0.120900	0.507460	0.617300	-0.085580	-0.085580	-0.111940	-0.103920	0.513140	0.384360	0.344560	-0.220960	-0.220960	0.387760	0.180600	-0.003420	-0.030060	-0.045500	-0.003420	-0.076540	-0.113640	0.168100	0.135380	-0.382080	-0.097780	-0.097780	-0.112960	-0.007120	-0.050980	-0.113760	0.349600	0.343220	-0.230420	-0.016380	-0.054320	-0.054320	-0.101980	-0.225900	-0.225900	0.572700	-0.201860	-0.201860	0.210160	0.454960	0.454960	0.534960
rf_overall	-0.203480	-0.133100	-0.203480	-0.414880	1.415040	2.142580	-0.667040	-0.574680	-0.667040	-0.617800	1.502560	2.464620	-0.679420	-0.679420	-0.538720	-0.602960	2.430160	1.387380	1.396800	-0.782400	-0.782400	1.570700	1.248540	-0.293440	-0.284600	-0.377680	-0.293440	-0.453940	-0.611120	0.881840	0.404100	-0.810100	-0.586560	-0.586560	-0.564300	-0.277000	-0.499240	-0.828020	1.573300	0.912920	-0.519760	-0.270900	-0.583180	-0.583180	-0.585280	-0.140840	-0.140840	3.133140	0.064780	0.064780	2.380280	1.558880	1.558880	3.089420
rf_HB	-0.004180	-0.003740	-0.004180	-0.054400	0.520820	0.553140	-0.076240	-0.115420	-0.076240	-0.076460	0.537140	0.672440	-0.089920	-0.089920	-0.094700	-0.049560	0.518160	0.450460	0.210640	-0.118740	-0.118740	0.266200	0.107440	-0.015840	-0.029840	-0.113480	-0.015840	-0.121560	-0.104460	0.185920	0.163800	-0.234660	-0.075800	-0.075800	-0.099480	-0.077220	-0.128720	-0.134400	0.360640	0.350020	-0.136940	-0.088580	-0.097520	-0.097520	-0.119600	0.123880	0.123880	1.082380	0.208740	0.208740	0.698120	0.818020	0.818020	1.019660
rf_LOGP	0.003460	0.011060	0.003460	-0.058180	0.369420	0.317000	-0.175760	-0.036840	-0.175760	-0.102840	0.400840	0.367520	-0.174340	-0.174340	-0.039800	-0.094400	0.318920	0.450220	0.063460	-0.186280	-0.186280	0.081380	-0.012440	-0.060400	-0.056900	-0.127800	-0.060400	-0.161420	-0.168340	0.027820	-0.041620	-0.227480	-0.111520	-0.111520	-0.080620	-0.121620	-0.223980	-0.240060	0.207140	0.067300	-0.086620	-0.135640	-0.117200	-0.117200	-0.094220	0.074660	0.074660	0.532700	0.222720	0.222720	0.222660	0.385240	0.385240	0.608400
rf_CHARGE	-0.180440	-0.108120	-0.180440	-0.276620	0.181120	1.292600	-0.312440	-0.269920	-0.312440	-0.389120	0.217460	1.533240	-0.412140	-0.412140	-0.351460	-0.427700	1.465720	0.140960	1.060800	-0.368880	-0.368880	1.205620	0.935800	-0.214700	-0.146740	-0.093700	-0.214700	-0.111580	-0.244540	0.593760	0.033820	-0.121800	-0.342400	-0.342400	-0.252760	-0.077920	-0.145720	-0.410160	0.989540	0.179960	-0.020440	-0.058320	-0.376460	-0.376460	-0.293480	-0.146740	-0.146740	1.130740	-0.146100	-0.146100	0.825620	0.163400	0.163400	1.380540
